"gene","category","ifcurated"
"RAC1","neighbor","TRUE"
"MIR149","neighbor","TRUE"
"HRAS","mty","TRUE"
"TIAM1","mty","TRUE"
"PTEN","neighbor","TRUE"
"STAT6","neighbor","FALSE"
"RCE1","neighbor","TRUE"
"NFIC","neighbor","FALSE"
"ORAI2","neighbor","TRUE"
"MIR31","neighbor","TRUE"
"TP53","neighbor","TRUE"
"FNTA","neighbor","TRUE"
"RUNX1","neighbor","FALSE"
"MIR182","neighbor","TRUE"
"ITGB3","exp","TRUE"
"CDC42","neighbor","TRUE"
"ITPR2","neighbor","TRUE"
"PIK3R3","neighbor","TRUE"
"ADCY5","neighbor","TRUE"
"NFATC2","neighbor","FALSE"
"BRAF","neighbor","TRUE"
"PLCG1","neighbor","TRUE"
"ZDHHC9","neighbor","TRUE"
"SP1","neighbor","FALSE"
"RPS6","exp","FALSE"
"SOS1","neighbor","TRUE"
"PRKCE","neighbor","TRUE"
"MARCKS","neighbor","TRUE"
"GPC1","mty","FALSE"
"PRKCQ","mty","TRUE"
"MIR34A","neighbor","TRUE"
"MIRLET7B","neighbor","TRUE"
"SOX2","mty","FALSE"
"MIR181A1","neighbor","TRUE"
"MIR21","neighbor","TRUE"
"PDPK1","neighbor","TRUE"
"ICMT","neighbor","TRUE"
"MIR221","neighbor","TRUE"
"MIRLET7A1","neighbor","TRUE"
"SP3","neighbor","FALSE"
